title,images,serviceCategory,type,description,price,stateAbbreviation,city,phoneNumber,averageRating,numberOfReviews
Lucie Saint-Clair Casablanca,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/lucie_saint-clair_casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/lucie_saint-clair_casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/lucie_saint-clair_casablanca/image_3.jpg']",Esthetician,Skincare Treatment,Expert esthetician offering personalized skincare treatments for radiant skin.,200,CAS,Casablanca,· +212 5222-50272,3.8,25
Zero to one barbershop,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zero_to_one_barbershop/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zero_to_one_barbershop/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zero_to_one_barbershop/image_3.jpg']",Esthetician,Barbershop,Expert barbers providing stylish cuts and grooming in a welcoming atmosphere.,200,CAS,Casablanca,· +212 673-150040,3.8,150
Glory Glam Corner,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/glory_glam_corner/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/glory_glam_corner/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/glory_glam_corner/image_3.jpg']",Esthetician,Esthetician Service,Transform your beauty routine with expert esthetician services for glowing skin and rejuvenation.,200,CAS,Casablanca,· +212 694-876763,4.8,119
Signature by Amine,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/signature_by_amine/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/signature_by_amine/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/signature_by_amine/image_3.jpg']",Esthetician,Skincare Clinic,Expert esthetician offering personalized skincare treatments and rejuvenating facials.,200,CAS,Casablanca,· +212 520-651991,4.4,44
"Salon Allure Agadir - Hair, Gel Manucure, Skin care, Hydrafacial & Barber","['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_allure_agadir_-_hair__gel_manucure__skin_care__hydrafacial___barber/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_allure_agadir_-_hair__gel_manucure__skin_care__hydrafacial___barber/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_allure_agadir_-_hair__gel_manucure__skin_care__hydrafacial___barber/image_3.jpg']",Esthetician,Full-Service Salon,Expert hair and skincare services for a rejuvenating experience.,200,SOU,Agadir,· +212 602-010167,4.9,72
Bar à Boucles Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bar___boucles_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bar___boucles_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bar___boucles_marrakech/image_3.jpg']",Esthetician,Hair Salon,Specialized in beautiful curls and hair treatments in a relaxing atmosphere.,200,,,· +212 664-379970,4.4,99
Bar à Boucles Casablanca Les Princesses,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bar___boucles_casablanca_les_princesses/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bar___boucles_casablanca_les_princesses/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bar___boucles_casablanca_les_princesses/image_3.jpg']",Esthetician,Hair Salon,"Expert curl styling and maintenance for beautiful, bouncy hair in a welcoming atmosphere.",200,CAS,Casablanca,· +212 663-327772,3.3,131
Man's Beard,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/man_s_beard/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/man_s_beard/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/man_s_beard/image_3.jpg']",Esthetician,Beard Grooming,Expert grooming service for the perfect shape and style of your beard.,200,,,· +212 707-230097,4.1,27
SALON YS BEAUTÉ COIFFURE ESTHÉTIQUE POUR FEMME,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_ys_beaut__coiffure_esth_tique_pour_femme/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_ys_beaut__coiffure_esth_tique_pour_femme/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_ys_beaut__coiffure_esth_tique_pour_femme/image_3.jpg']",Esthetician,Beauty Salon,Expert beauty and hair services for women in a relaxing salon environment.,200,CAS,Casablanca,· +212 649-015910,4.7,99
Angel Institut Casablanca,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/angel_institut_casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/angel_institut_casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/angel_institut_casablanca/image_3.jpg']",Esthetician,Esthetician Services,Expert esthetician services for your beauty and skincare needs in Casablanca.,200,CAS,Casablanca,· +212 5223-95777,3.6,33
nan,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/nan/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/nan/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/nan/image_3.jpg']",Esthetician,Esthetician,Expert esthetician services for glowing skin and personalized beauty treatments.,200,,,nan,3.5,41
Black Home Barber - Coiffeur Homme Casablanca,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/black_home_barber_-_coiffeur_homme_casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/black_home_barber_-_coiffeur_homme_casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/black_home_barber_-_coiffeur_homme_casablanca/image_3.jpg']",Esthetician,Barber Shop,"Expert barber services for men, offering stylish cuts in a comfortable setting.",200,CAS,Casablanca,· +212 691-994002,4.9,120
Skills Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/skills_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/skills_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/skills_marrakech/image_3.jpg']",Esthetician,Esthetician,"Expert esthetician services in Marrakech, offering rejuvenating treatments for radiant skin.",200,,,· +212 702-550742,4.1,44
Amine Hair Artist,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/amine_hair_artist/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/amine_hair_artist/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/amine_hair_artist/image_3.jpg']",Esthetician,Hair Salon,Expert hairstyling and personalized hair care by a talented artist.,200,CAS,Casablanca,nan,3.6,140
Rachid coiffeur visagiste kech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/rachid_coiffeur_visagiste_kech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/rachid_coiffeur_visagiste_kech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/rachid_coiffeur_visagiste_kech/image_3.jpg']",Esthetician,Hair & Beauty Salon,Expert hairstyling and facial analysis for a personalized look.,200,,,· +212 679-466326,3.8,78
Caprices de femmes,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/caprices_de_femmes/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/caprices_de_femmes/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/caprices_de_femmes/image_3.jpg']",Esthetician,Esthetician,Expert esthetician services tailored to enhance your natural beauty and boost your confidence.,200,CAS,Casablanca,nan,3.1,131
Zine O'zine Salon & SPA Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zine_o_zine_salon___spa_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zine_o_zine_salon___spa_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zine_o_zine_salon___spa_marrakech/image_3.jpg']",Esthetician,Saloon & Spa,Indulge in luxurious beauty treatments and rejuvenating spa services at Zine O'zine Salon & SPA Marrakech.,200,,,· +212 661-362246,4.3,32
Gatsby Barber Marrakech salon de coiffeurs homme,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/gatsby_barber_marrakech_salon_de_coiffeurs_homme/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/gatsby_barber_marrakech_salon_de_coiffeurs_homme/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/gatsby_barber_marrakech_salon_de_coiffeurs_homme/image_3.jpg']",Esthetician,Barber Shop,Expert grooming and styling for men at Gatsby Barber in Marrakech.,200,,,· +212 600-642015,4.1,98
"The Trendy Lounge - Salon de Coiffure, Beauté & Bien-être - Anfa racine - Casablanca","['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_trendy_lounge_-_salon_de_coiffure__beaut____bien-_tre_-_anfa_racine_-_casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_trendy_lounge_-_salon_de_coiffure__beaut____bien-_tre_-_anfa_racine_-_casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_trendy_lounge_-_salon_de_coiffure__beaut____bien-_tre_-_anfa_racine_-_casablanca/image_3.jpg']",Esthetician,Hair and Beauty Salon,A chic salon offering top-notch hair and beauty services in a relaxing atmosphere.,200,CAS,Casablanca,· +212 520-520200,4.9,46
The Barber Shop - Casablanca ( Star ),"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_barber_shop_-_casablanca___star__/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_barber_shop_-_casablanca___star__/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_barber_shop_-_casablanca___star__/image_3.jpg']",Esthetician,Barber Shop,Expert haircuts and grooming services in a welcoming atmosphere.,200,CAS,Casablanca,· +212 675-104721,4.8,133
Salon Cham Hair & Makeup marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_cham_hair___makeup_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_cham_hair___makeup_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_cham_hair___makeup_marrakech/image_3.jpg']",Esthetician,Beauty Salon,Transform your look with expert hair and makeup services in the heart of Marrakech.,200,,,· +212 679-272756,3.3,87
Salon Antoine B Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_antoine_b_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_antoine_b_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_antoine_b_marrakech/image_3.jpg']",Esthetician,Beauty Salon,"Experience luxurious beauty treatments at Salon Antoine B Marrakech, where elegance meets expertise.",200,,,· +212 760-760499,3.8,54
Tapis Rouge Centre de beauté et salon de coiffure,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/tapis_rouge_centre_de_beaut__et_salon_de_coiffure/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/tapis_rouge_centre_de_beaut__et_salon_de_coiffure/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/tapis_rouge_centre_de_beaut__et_salon_de_coiffure/image_3.jpg']",Esthetician,Beauty Salon,A luxurious beauty center offering expert esthetician services and hair styling.,200,,,· +212 661-767345,4.7,90
Salon De Coiffure La Joconde,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_la_joconde/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_la_joconde/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_la_joconde/image_3.jpg']",Esthetician,Beauty Salon,Relax and rejuvenate with our expert hair and beauty services.,200,CAS,Casablanca,· +212 5222-50547,3.8,94
Tendance Coiffure Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/tendance_coiffure_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/tendance_coiffure_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/tendance_coiffure_marrakech/image_3.jpg']",Esthetician,Hair Salon,Expert hairstyling and beauty services in the heart of Marrakech.,200,,,· +212 5244-34023,3.8,9
Bar à Boucles Casablanca Bourgogne,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bar___boucles_casablanca_bourgogne/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bar___boucles_casablanca_bourgogne/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bar___boucles_casablanca_bourgogne/image_3.jpg']",Esthetician,Hair Salon,Expert curls and stunning hairstyles tailored for every occasion.,200,CAS,Casablanca,· +212 665-851532,4.1,7
Mèche à Mèche Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/m_che___m_che_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/m_che___m_che_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/m_che___m_che_marrakech/image_3.jpg']",Esthetician,Beauty Spa,Expert esthetician services specializing in personalized beauty treatments in Marrakech.,200,,,· +212 525-060606,4.2,99
BARBER MARRAKESH CHAFNI,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_marrakesh_chafni/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_marrakesh_chafni/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_marrakesh_chafni/image_3.jpg']",Esthetician,Barber Shop,Expert barbering services for a stylish and fresh look in Marrakesh.,200,,,· +212 645-245044,4.5,44
Salon M7,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_m7/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_m7/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_m7/image_3.jpg']",Esthetician,Skincare,Expert esthetician services for glowing skin and relaxation.,200,,,· +212 620-044839,3.9,28
Studio B,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/studio_b/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/studio_b/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/studio_b/image_3.jpg']",Esthetician,Esthetician,Relaxing esthetician services for glowing skin and rejuvenation.,200,CAS,Casablanca,· +212 5222-50838,3.5,68
Beauty Hair & Spa,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_hair___spa/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_hair___spa/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_hair___spa/image_3.jpg']",Esthetician,Hair & Spa Services,Revitalize your look with expert hair care and rejuvenating spa treatments.,200,RAB,Rabat,· +212 5377-74930,3.1,117
Tribumode Agency,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/tribumode_agency/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/tribumode_agency/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/tribumode_agency/image_3.jpg']",Esthetician,Beauty Spa,"Expert esthetician services specializing in skincare, makeup, and beauty treatments.",200,CAS,Casablanca,· +212 633-000083,3.4,11
Coiffure Venezia,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffure_venezia/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffure_venezia/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffure_venezia/image_3.jpg']",Esthetician,Hair Salon,Experience exquisite hair styling and personalized beauty care at Coiffure Venezia.,200,,,nan,3.8,115
"Atelier 9 - Modern Salon, Hair & Nails","['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/atelier_9_-_modern_salon__hair___nails/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/atelier_9_-_modern_salon__hair___nails/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/atelier_9_-_modern_salon__hair___nails/image_3.jpg']",Esthetician,Hair and Nail Salon,Chic salon offering expert hair and nail services for a modern look.,200,RAB,Rabat,· +212 669-828503,4.4,115
Coiffeur Turc à Casablanca - Hair Extension,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_turc___casablanca_-_hair_extension/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_turc___casablanca_-_hair_extension/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_turc___casablanca_-_hair_extension/image_3.jpg']",Esthetician,Hair Salon,Expert Turkish hairstyling and premium hair extensions in the heart of Casablanca.,200,CAS,Casablanca,· +212 707-073300,4.1,108
Barber Yahia Vip Coiffeur Homme Rabat,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_yahia_vip_coiffeur_homme_rabat/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_yahia_vip_coiffeur_homme_rabat/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_yahia_vip_coiffeur_homme_rabat/image_3.jpg']",Esthetician,Barber Shop,Experience top-notch grooming and styling for men in a luxury setting.,200,RAB,Rabat,· +212 659-814004,3.5,61
Mastercoiff,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mastercoiff/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mastercoiff/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mastercoiff/image_3.jpg']",Esthetician,Skincare,Expert esthetician offering personalized skincare treatments for a radiant complexion.,200,CAS,Casablanca,· +212 661-640664,4.8,34
YOBA HAIR STYLER Home hairdresser in Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/yoba_hair_styler_home_hairdresser_in_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/yoba_hair_styler_home_hairdresser_in_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/yoba_hair_styler_home_hairdresser_in_marrakech/image_3.jpg']",Esthetician,Hairdressing,Expert home hairdresser offering stylish cuts and colors in Marrakech.,200,,,nan,3.9,80
bel ange marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bel_ange_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bel_ange_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bel_ange_marrakech/image_3.jpg']",Esthetician,Esthetician Services,Exceptional esthetician services in Marrakech for your beauty and relaxation needs.,200,,,· +212 5244-20036,4.3,82
Niya Beauty de Coiffure & Ésthétique,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/niya_beauty_de_coiffure____sth_tique/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/niya_beauty_de_coiffure____sth_tique/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/niya_beauty_de_coiffure____sth_tique/image_3.jpg']",Esthetician,Beauty Salon,Expert beauty and hair services to enhance your natural glow and style.,200,,,· +212 702-050200,3.7,126
Salon Paris beauty show,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_paris_beauty_show/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_paris_beauty_show/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_paris_beauty_show/image_3.jpg']",Esthetician,Beauty Salon,"Indulge in luxurious beauty treatments at Salon Paris, where elegance meets expert esthetician services.",200,,,· +212 5244-22737,5.0,104
New hair by MG,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/new_hair_by_mg/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/new_hair_by_mg/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/new_hair_by_mg/image_3.jpg']",Esthetician,Hair Stylist,Experience the latest hair trends and personalized styling with expert care by MG.,200,,,· +212 666-359438,3.6,115
Mounir Salon ViP,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mounir_salon_vip/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mounir_salon_vip/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mounir_salon_vip/image_3.jpg']",Esthetician,Esthetician,Exclusive esthetic services tailored for a luxurious experience.,200,,,· +212 614-669951,4.8,125
Salon Mondial Casablanca,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_mondial_casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_mondial_casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_mondial_casablanca/image_3.jpg']",Esthetician,Esthetic Services,Expert esthetician services for radiant skin and beauty treatments in a relaxing environment.,200,CAS,Casablanca,· +212 5222-52828,3.8,150
Jean Daniel coiffeur Créateur,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/jean_daniel_coiffeur_cr_ateur/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/jean_daniel_coiffeur_cr_ateur/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/jean_daniel_coiffeur_cr_ateur/image_3.jpg']",Esthetician,Hair Salon,Expert hairstyling and creative cuts tailored to your unique style.,200,,,· +212 660-353188,3.4,116
