title,description,category,experienceLevel,type,applicationEmail,applicationUrl,companyName,companyImage,city,stateAbbreviation,locationRequirement,wage,createdAt,companyLogoS3
Hôtesses d’Accueil et Standardistes,"<p>Baco Protect, un acteur majeur des métiers de la protection et des services à la personne, recrute des Hôtesses d’Accueil et des Standardistes en CDI. Nous recherchons des candidats dynamiques, souriants et professionnels pour rejoindre notre équipe.</p><p><strong>Vos missions :</strong></p><ul><li>Accueil physique et téléphonique des clients et visiteurs</li><li>Gestion des appels entrants et sortants</li><li>Orientation des visiteurs vers les services appropriés</li><li>Gestion de l’agenda et des réservations</li><li>Assistance à l'organisation d'événements internes</li></ul><p><strong>Profil recherché :</strong></p><ul><li>Excellentes compétences en communication</li><li>Expérience en accueil ou en standard téléphonique souhaitée</li><li>Maîtrise des outils bureautiques</li><li>Sens du service et sens de l'écoute</li></ul><p>Rejoignez une entreprise en pleine croissance et participez à notre mission de service de qualité!</p>",Hospitality,mid_level,full_time,contact@bacoprotect.com,,Baco Protect,https://www.dreamjob.ma/wp-content/uploads/2021/11/Jamain-Baco-Emploi-Recrutement.png,Casablanca,CAS,in_office,6322,2025-11-08T17:57:45.428515+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/baco-protect.png
Ingénieurs,"<p>Maroc Fer, une entreprise dynamique et en pleine expansion dans le secteur de la métallurgie, est à la recherche de nouveaux talents pour renforcer ses équipes. Présente sur le marché depuis 1975, nous avons su établir notre réputation grâce à notre savoir-faire et notre engagement envers la qualité.</p>
<p>Nous offrons un environnement de travail stimulant où innovation et travail d'équipe sont au cœur de notre réussite. Nous recherchons des candidats passionnés par le secteur de la métallurgie, désireux de contribuer à notre croissance et de développer leurs compétences au sein d'une entreprise leader.</p>
<ul>
    <li><strong>Postes à pourvoir :</strong> Ingénieurs, Techniciens, Opérateurs</li>
    <li><strong>in_officeisation :</strong> Maroc</li>
    <li><strong>Type de contrat :</strong> CDI, CDD</li>
</ul>
<p>Si vous êtes motivé(e) et prêt(e) à relever de nouveaux défis, n’hésitez pas à nous envoyer votre candidature !</p>",Other,mid_level,full_time,recrutement@marocfer.ma,,Maroc Fer,https://www.dreamjob.ma/wp-content/uploads/2025/11/Maroc-Fer.png,Casablanca,CAS,in_office,3967,2025-11-08T17:58:33.441751+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/maroc-fer.png
Ingénieurs métallurgistes,"<p>Maroc Fer, une entreprise leader dans le secteur de la métallurgie, recrute actuellement pour renforcer son équipe à Casablanca. Nous recherchons des professionnels passionnés et motivés pour rejoindre notre équipe dynamique.</p> <p>Vous aurez l'occasion de travailler dans un environnement stimulant et d'accéder à des opportunités de développement de carrière dans un secteur en pleine expansion. Les postes disponibles comprennent plusieurs domaines d'expertise, allant de la production à la gestion des opérations.</p> <ul> <li>Postes disponibles :</li> <li>Ingénieurs métallurgistes</li> <li>Techniciens en fabrication</li> <li>Responsables de la qualité</li> <li>Agents de maintenance</li> </ul> <p>Nous offrons des conditions de travail intéressantes, une rémunération compétitive et des chances d'évolution au sein de notre entreprise. Si vous êtes intéressé, n'hésitez pas à postuler !</p>",Other,mid_level,full_time,recrutement@marocfer.ma,,Maroc Fer,https://www.dreamjob.ma/wp-content/uploads/2025/11/Maroc-Fer.png,Casablanca,CAS,in_office,6940,2025-11-08T17:58:33.441766+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/maroc-fer.png
Opérateur de production,"<p>Rejoignez <strong>Maroc Fer</strong> à Casablanca et devenez une pièce maîtresse de notre croissance dans le secteur de la métallurgie. Nous sommes à la recherche de personnes dynamiques et passionnées par l'industrie pour contribuer à notre développement.</p><ul><li><strong>Poste:</strong> Opérateur de production</li><li><strong>in_officeisation:</strong> Casablanca, Maroc</li><li><strong>Type de contrat:</strong> CDI</li></ul><p>En tant qu'opérateur de production, vous serez responsable de :</p><ul><li>Assurer le bon fonctionnement des machines de production</li><li>Contrôler la qualité des produits fabriqués</li><li>Participer à l'optimisation des processus de fabrication</li></ul><p>Nous offrons un environnement de travail stimulant, des opportunités de formation et un package de rémunération compétitif.</p>",Other,mid_level,full_time,recrutement@marocfer.ma,,Maroc Fer,https://www.dreamjob.ma/wp-content/uploads/2025/11/Maroc-Fer.png,Casablanca,CAS,in_office,6669,2025-11-08T17:58:33.441770+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/maroc-fer.png
Sothema recrute pour son équipe Stratégie et M&A,"<p>Sothema, un acteur incontournable dans le secteur pharmaceutique, recrute pour son équipe Stratégie et Fusions-Acquisitions (M&A). Nous recherchons un professionnel talentueux et motivé pour rejoindre notre équipe dynamique et contribuer à notre croissance stratégique.</p><p><strong>Vos responsabilités incluront :</strong></p><ul><li>Analyser les opportunités de marché et élaborer des recommandations stratégiques.</li><li>Participer à la conduite des due diligences lors des transactions de fusion et d'acquisition.</li><li>Collaborer avec différentes équipes internes pour intégrer les projets M&A au sein de l'organisation.</li><li>Suivre les tendances du marché et de la concurrence afin d'informer la direction des opportunités et des risques disponibles.</li></ul><p><strong>Exigences :</strong></p><ul><li>Diplôme en finance, en commerce ou dans un domaine connexe.</li><li>Expérience significative dans un rôle similaire, idéalement dans le secteur pharmaceutique.</li><li>Excellentes compétences analytiques et de communication.</li><li>Capacité à travailler sous pression et à gérer plusieurs projets simultanément.</li></ul><p>Rejoignez Sothema et participez à des projets excitants qui façonneront l'avenir de notre entreprise !</p>",Finance,mid_level,full_time,recruitment@sothema.com,,Sothema,https://www.dreamjob.ma/wp-content/uploads/2022/02/Sothema-Emploi-Recrutement-3-750x393.png,Casablanca,CAS,in_office,4951,2025-11-08T17:59:12.859890+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/sothema.png
Gestionnaire Clientèle,"<p>Attijariwafa Bank recherche des <strong>Gestionnaires Clientèle</strong> pour plusieurs villes. Le gestionnaire clientèle aura pour mission principale de gérer un portefeuille de clients tout en garantissant un service à la clientèle exemplaire.</p> <p>Les responsabilités incluent :</p> <ul> <li>Établir et maintenir des relations solides avec les clients afin de comprendre leurs besoins financiers.</li> <li>Conseiller les clients sur les produits bancaires et financiers adaptés à leurs objectifs.</li> <li>Vendre des produits financiers tels que des comptes d'épargne, des prêts et des investissements.</li> <li>Assurer un suivi des transactions et des opérations financières pour garantir la satisfaction client.</li> <li>Collaborer avec d'autres départements de la banque pour optimiser l'expérience client.</li> </ul> <p>Les candidats idéaux posséderont d'excellentes compétences en communication, une solide connaissance des produits bancaires et une expérience préalable dans un rôle similaire. Rejoignez-nous et contribuez à notre mission d'offrir un service de qualité supérieure à notre clientèle.</p>",Finance,junior,full_time,recrutement@attijariwafa.com,,Attijariwafa Bank,https://www.dreamjob.ma/wp-content/uploads/2022/01/Attijariwafa-Bank-Emploi-Recrutement-14-750x393.png,Casablanca,CAS,in_office,3435,2025-11-08T17:59:56.342062+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/attijariwafa-bank.png
Recrutement Ingelec,"<p>Ingelec, une entreprise marocaine leader dans le secteur de l'électroménager, est en pleine expansion et recrute plusieurs profils à Casablanca. Dans le cadre de notre développement, nous recherchons des candidats qualifiés, passionnés et motivés pour renforcer nos équipes. </p><p>Nous offrons des opportunités variées dans différents domaines tels que :</p><ul><li>Le développement commercial</li><li>La gestion de la production</li><li>Le service client</li><li>La recherche et le développement de nouveaux produits</li><li>Le marketing et la communication</li></ul><p>Rejoignez-nous pour faire partie d’une équipe dynamique et contribuez à notre succès en innovant et en améliorant notre gamme de produits électroménagers.</p><p>Si vous êtes intéressé par cette opportunité, n’hésitez pas à envoyer votre candidature avec un CV à jour et une lettre de motivation.</p>",Other,junior,full_time,contact@ingelec.ma,,Ingelec,https://www.dreamjob.ma/wp-content/uploads/2022/02/Ingelec-Emploi-Recrutement-3.png,Casablanca,CAS,in_office,4059,2025-11-08T18:00:37.608165+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/ingelec.png
Hydro Advisor lances une campagne urgente de recrutement,"<p>Hydro Advisor, un bureau d’ingénieurs-conseils situé à Rabat, au Maroc, est en pleine expansion et lance une campagne urgente de recrutement. Nous recrutons des professionnels passionnés qui souhaitent contribuer à des projets d'ingénierie innovants et d'assistance technique auprès de nos clients.</p> <p>Nos domaines d'intervention comprennent :</p> <ul> <li>Ingénierie</li> <li>Conseil</li> <li>Assistance technique</li> </ul> <p>Si vous êtes motivé(e) et possédez de solides compétences dans ces domaines, rejoignez notre équipe dynamique et engageante. Envoyez-nous votre candidature dès aujourd'hui !</p>",Other,junior,full_time,contact@hydroadvisor.ma,,Hydro Advisor,https://www.dreamjob.ma/wp-content/uploads/2025/03/Hydro-Advisor.jpg,Rabat,RAB,in_office,6116,2025-11-08T18:01:31.838561+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/hydro-advisor.png
Commerciaux en Ameublement,"<p>Zamzam Home, une entreprise dynamique et innovante, recrute des commerciaux talentueux pour sa nouvelle grande surface dédiée à l’ameublement et à la décoration intérieure. Nous recherchons des individus passionnés par le design et l’aménagement intérieur, prêts à offrir un service client exceptionnel et à contribuer à notre croissance.</p> <p>Vos principales missions incluront :</p> <ul> <li>Accueillir et conseiller les clients sur nos produits d’ameublement et de décoration.</li> <li>Développer et entretenir des relations solides avec nos clients.</li> <li>Atteindre et dépasser les objectifs de vente fixés.</li> <li>Participer à l’organisation et à la mise en place d’animations commerciales et d’événements en magasin.</li> <li>Veiller à la bonne présentation des produits et à la gestion des stocks.</li> </ul> <p>Pour réussir dans ce poste, vous devez avoir un excellent sens de la communication, une forte motivation pour la vente, ainsi qu'une connaissance ou un intérêt pour le secteur de l'ameublement. Une expérience préalable dans un poste similaire serait un atout.</p> <p>Rejoignez notre équipe et participez à la création d'un espace inspirant pour nos clients !</p>",Other,junior,full_time,contact@zamzamhome.ma,,Zamzam Home,https://www.dreamjob.ma/wp-content/uploads/2025/10/Zamzam-Home.jpg,Marrakech,MAR,in_office,5627,2025-11-08T18:02:18.723846+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/zamzam-home.png
Agents de Caisse,"<p>Zamzam Home, acteur majeur dans le secteur de l'ameublement et de la décoration intérieure, recrute des agents de caisse pour renforcer son équipe au sein de sa grande surface.</p> <p>En tant qu'agent de caisse, vous serez responsable des tâches suivantes :</p> <ul> <li>Accueillir et orienter les clients dans le magasin.</li> <li>Effectuer les opérations de caisses avec précision.</li> <li>Assurer la gestion des transactions financières.</li> <li>Répondre aux questions des clients concernant les produits et les services.</li> <li>Collaborer avec les autres membres de l'équipe pour garantir une expérience client optimale.</li> </ul> <p>Nous recherchons des candidats dynamiques, ayant le sens du service et capables de travailler dans un environnement stimulant. Une expérience précédente dans un poste similaire est un atout.</p> <p>Rejoignez-nous et participez à l'aventure Zamzam Home !</p>",Other,junior,full_time,contact@zamzamhome.ma,,Zamzam Home,https://www.dreamjob.ma/wp-content/uploads/2025/10/Zamzam-Home.jpg,Marrakech,MAR,in_office,6629,2025-11-08T18:02:18.723864+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/zamzam-home.png
Responsable Logistique,"<p>La Société de Distribution, un acteur majeur dans le secteur de la logistique, cherche à recruter un <strong>Responsable Logistique</strong>. Ce poste clé consiste à gérer et optimiser l'ensemble de la logistique au sein de l'entreprise. Vous aurez pour mission de :</p><ul><li>Analyser et améliorer les processus logistiques actuels.</li><li>Mettre en œuvre des stratégies pour réduire les coûts et augmenter l'efficacité des opérations.</li><li>Coordonner les équipes de transport, de stockage et de distribution.</li><li>Assurer la gestion des stocks et des approvisionnements.</li><li>Établir des indicateurs de performance et en assurer le suivi.</li></ul><p>Nous recherchons un candidat ayant une solide expérience en logistique, une excellente capacité d'analyse et de communication ainsi qu'une grande rigueur dans la gestion des opérations.</p>",Other,senior,full_time,contact@societededistribution.ma,,Société de Distribution,https://www.dreamjob.ma/wp-content/uploads/2023/09/DJ-LOGO-HD-3.svg,Casablanca,CAS,in_office,5790,2025-11-08T18:03:00.342138+00:00,
Professeur Permanent d’Anglais,"<p>Le Grand Groupe Scolaire Privé, situé à Témara, recherche un <strong>professeur permanent d’anglais</strong> pour enseigner aux élèves du primaire. Nous accueillons les candidatures de professionnels seniors et passionnés par l'enseignement et le développement linguistique des jeunes apprenants.</p><p><strong>Responsabilités :</strong></p><ul><li>Préparer et dispenser des cours d’anglais adaptés au niveau des élèves.</li><li>Évaluer les progrès des élèves et adapter les méthodes d'enseignement en conséquence.</li><li>Créer un environnement d'apprentissage positif et stimulant.</li><li>Collaborer avec les autres enseignants et le personnel de l'école pour assurer une cohérence pédagogique.</li></ul><p><strong>Qualifications :</strong></p><ul><li>Diplôme en enseignement de l'anglais ou dans un domaine connexe.</li><li>Expérience antérieure dans l'enseignement, de préférence au niveau primaire.</li><li>Compétences en communication et en gestion de classe.</li></ul><p>Si vous êtes passionné par l'enseignement et souhaitez rejoindre une institution engagée dans l'excellence académique, veuillez soumettre votre candidature.</p>",Education,senior,full_time,contact@grandgroupescolaire.com,,Grand Groupe Scolaire Privé,https://www.dreamjob.ma/wp-content/uploads/2023/09/DJ-LOGO-HD-3.svg,Témara,MAR,in_office,4938,2025-11-08T18:03:42.265353+00:00,
Intermédiaire d'Assurance,"<p>Rejoignez <strong>AXA Assurance Maroc</strong> et devenez <strong>Intermédiaire d'Assurance</strong>. Nous recherchons des candidats passionnés par le secteur de l'assurance et désireux de développer leur carrière.</p><p>Dans ce rôle, vous aurez l'occasion de :</p><ul><li>Développer votre propre portefeuille clients.</li><li>Conseiller et orienter les clients sur les produits d'assurance adaptés à leurs besoins.</li><li>Travailler au sein d'une équipe dynamique et motivée.</li><li>Bénéficier d'une formation continue pour enrichir vos compétences professionnelles.</li></ul><p>Si vous aimez le contact humain et avez un sens aigu du service client, cette offre est faite pour vous ! Envoyez-nous votre candidature dès aujourd'hui.</p>",Finance,junior,full_time,contact@axa.ma,,AXA Assurance Maroc,https://www.dreamjob.ma/wp-content/uploads/2023/09/DJ-LOGO-HD-3.svg,Casablanca,CAS,hybrid,6072,2025-11-08T18:04:29.220960+00:00,
Responsable des Opérations,"<p>L’entreprise <strong>Magic Carnations</strong> recherche un <strong>Responsable des Opérations</strong> pour gérer et optimiser les flux logistiques. Vous serez chargé(e) de superviser les équipes opérationnelles et d'assurer l'efficacité des processus en place.</p><p>Les missions principales incluent :</p><ul><li>Supervision et management des équipes opérationnelles</li><li>Analyse des processus logistiques pour identifier des opportunités d'amélioration</li><li>Gestion et développement des relations avec les fournisseurs</li><li>Coordination des activités liées à la chaîne d'approvisionnement</li><li>Reporting et suivi des indicateurs de performance</li></ul><p>Nous recherchons un candidat proactif, capable de travailler dans un environnement dynamique et de s'adapter aux évolutions du marché.</p>",Other,mid_level,full_time,contact@magic-carnations.com,,Magic Carnations,https://www.dreamjob.ma/wp-content/uploads/2025/01/Magic-Carnations.jpg,Tangier,TNG,in_office,5713,2025-11-08T18:05:21.495701+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/magic-carnations.png
Chargé de Marketing Digital,"<p>Nous recherchons un <strong>Chargé de Marketing Digital</strong> passionné et dynamique pour rejoindre notre équipe. Dans ce rôle, vous serez chargé de :</p> <ul> <li>Développer et exécuter des campagnes de communication digitale efficaces sur diverses plateformes (réseaux sociaux, email marketing, site web, etc.)</li> <li>Suivre et analyser les performances des campagnes à l'aide d'outils d'analyse pour optimiser les résultats</li> <li>Collaborer avec les équipes créatives pour concevoir des visuels et des contenus attrayants</li> <li>Rester à jour sur les tendances du marketing digital et les meilleures pratiques</li> <li>Gérer le budget des campagnes tout en maximisant le retour sur investissement</li> </ul> <p>Si vous êtes motivé par les défis et souhaitez contribuer à l'accroissement de notre présence en ligne, nous serions ravis de recevoir votre candidature.</p>",Other,junior,full_time,contact@magic-carnations.com,,Magic Carnations,https://www.dreamjob.ma/wp-content/uploads/2025/01/Magic-Carnations.jpg,Tangier,TNG,hybrid,3000,2025-11-08T18:05:21.495727+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/magic-carnations.png
Agent de Televente Francophone,"<p>Nous recherchons un <strong>Agent de Televente Francophone</strong> passionné par la vente et le service client. Vous serez en charge de la vente d'un produit haut de gamme par téléphone. Vos principales missions incluront :</p><ul><li>Convaincre les clients de la valeur du produit proposé</li><li>Fidéliser la clientèle par un suivi professionnel et attentif</li><li>Répondre aux questions et préoccupations des clients avec aisance</li><li>Participer à l’atteinte des objectifs de vente mensuels</li></ul><p>Si vous avez une excellente communication et un sens aigu des relations interpersonnelles, n'hésitez pas à postuler !</p>",CallCenter,junior,full_time,contact@admvalue.ma,,ADM Value,https://www.dreamjob.ma/wp-content/uploads/2023/11/ADM-Value-Emploi-Recrutement-2-750x393.png,Rabat,RAB,in_office,6667,2025-11-08T18:06:09.573211+00:00,https://serrbi-main-file-bucket.s3.amazonaws.com/company_logos/adm-value.png
